"dataset",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"credit_card_transactions","mean_latency_ms","catboost","lgbm",30,30,4.77364559929749,1.80920641445477e-06,5.42761924336431e-06,"****"
"credit_card_transactions","mean_latency_ms","catboost","xgboost",30,30,8.56884210060233,1.04530747475743e-17,3.1359224242723e-17,"****"
"credit_card_transactions","mean_latency_ms","lgbm","xgboost",30,30,3.79519650130484,0.000147526564544034,0.000442579693632101,"***"
"diabetic","mean_latency_ms","catboost","lgbm",30,30,4.44749589996661,8.68771167700006e-06,2.60631350310002e-05,"****"
"diabetic","mean_latency_ms","catboost","xgboost",30,30,8.89499179993321,5.84236125664835e-19,1.7527083769945e-18,"****"
"diabetic","mean_latency_ms","lgbm","xgboost",30,30,4.44749589996661,8.68771167700006e-06,2.60631350310002e-05,"****"
"healthcare-dataset-stroke","mean_latency_ms","catboost","lgbm",30,30,5.67796976562403,1.36302798453033e-08,4.08908395359098e-08,"****"
"healthcare-dataset-stroke","mean_latency_ms","catboost","xgboost",30,30,7.66451793427579,1.79504124947064e-14,5.38512374841192e-14,"****"
"healthcare-dataset-stroke","mean_latency_ms","lgbm","xgboost",30,30,1.98654816865175,0.0469724898834504,0.140917469650351,"ns"
"UNSW_NB15_merged","mean_latency_ms","catboost","lgbm",30,30,4.44749589996661,8.68771167700006e-06,2.60631350310002e-05,"****"
"UNSW_NB15_merged","mean_latency_ms","catboost","xgboost",30,30,8.89499179993321,5.84236125664835e-19,1.7527083769945e-18,"****"
"UNSW_NB15_merged","mean_latency_ms","lgbm","xgboost",30,30,4.44749589996661,8.68771167700006e-06,2.60631350310002e-05,"****"
